省级,地级,县市,总人口,年轻人口(20-39),高等教育人口,年轻人比例,高等教育人口比例,市总人口,县市人口比例
北京市,北京市,北京市,19612368,8556982,6177772,0.436305397,0.314993682,19612368,1
北京市,北京市,东城区,573180,213458,213156,0.372410063,0.371883178,19612368,0.029225436
北京市,北京市,西城区,674531,251224,281881,0.372442482,0.417891839,19612368,0.034393144
北京市,北京市,崇文区,346073,126424,122698,0.365310209,0.354543695,19612368,0.017645651
北京市,北京市,宣武区,568784,213978,214984,0.376202565,0.377971251,19612368,0.029001291
北京市,北京市,北京市朝阳区,3545137,1667858,1292994,0.470463624,0.364723281,19612368,0.180760273
北京市,北京市,丰台区,2112162,901708,634336,0.42691233,0.300325449,19612368,0.107695409
北京市,北京市,石景山区,616083,249212,213680,0.404510431,0.346836384,19612368,0.031412984
北京市,北京市,海淀区,3280670,1615199,1544565,0.49233815,0.470807792,19612368,0.167275568
北京市,北京市,门头沟区,290476,92424,51137,0.318181192,0.176045525,19612368,0.014810858
北京市,北京市,房山区,944832,339961,159837,0.359811056,0.169169757,19612368,0.048175315
北京市,北京市,北京市通州区,1184256,520282,259905,0.439332374,0.219466906,19612368,0.060383122
北京市,北京市,顺义区,876620,365332,148489,0.416750702,0.169388104,19612368,0.044697305
北京市,北京市,昌平区,1660501,843558,564218,0.508014148,0.339787811,19612368,0.084666013
北京市,北京市,大兴区,1365112,636848,255871,0.466517033,0.187435903,19612368,0.069604649
北京市,北京市,怀柔区,372887,130993,54536,0.351294092,0.146253423,19612368,0.019012849
北京市,北京市,平谷区,415958,135295,48739,0.325261204,0.117172888,19612368,0.021208964
北京市,北京市,密云县,467680,143142,55158,0.306068252,0.117939617,19612368,0.023846177
北京市,北京市,延庆县,317426,110086,61588,0.34680839,0.194023174,19612368,0.016184991
天津市,天津市,天津市,12938693,5102391,2261701,0.394351346,0.17480135,12938693,1
天津市,天津市,天津市和平区,273477,94136,84981,0.344219075,0.310742768,12938693,0.02113637
天津市,天津市,天津市河东区,860852,285225,236634,0.33132873,0.274883488,12938693,0.06653315
天津市,天津市,河西区,870632,308463,294181,0.354297797,0.337893622,12938693,0.067289022
天津市,天津市,南开区,1018196,388412,355511,0.381470758,0.349157726,12938693,0.078693884
天津市,天津市,河北区,788451,289138,164873,0.366716511,0.209110014,12938693,0.060937453
天津市,天津市,红桥区,531526,183549,125428,0.345324594,0.235977168,12938693,0.041080347
天津市,天津市,东丽区,598966,251794,71413,0.420381123,0.119227135,12938693,0.04629262
天津市,天津市,西青区,713060,322996,142938,0.452971699,0.200457185,12938693,0.055110667
天津市,天津市,津南区,593063,241591,60705,0.407361444,0.102358434,12938693,0.045836392
天津市,天津市,北辰区,669121,273558,125432,0.408831885,0.187457874,12938693,0.051714729
天津市,天津市,武清区,951078,332329,54876,0.349423496,0.057698738,12938693,0.073506497
天津市,天津市,宝坻区,799157,302679,53107,0.378747856,0.066453776,12938693,0.061764894
天津市,天津市,滨海新区,2423204,1254188,385873,0.517574253,0.159240823,12938693,0.187283522
天津市,天津市,宁河县,416143,138501,21249,0.332820689,0.051061774,12938693,0.032162677
天津市,天津市,静海县,646978,205601,37087,0.317786694,0.057323433,12938693,0.05000335
天津市,天津市,蓟县,784789,230231,47413,0.293366752,0.060414965,12938693,0.060654426
河北省,河北省,河北省,71854210,23568659,5242511,0.328006654,0.072960387,12938693,5.553436502
