AdCode,Province,Prefecture,County,方言大区,方言区/语支,方言片/语种,SGroup,DiaGroup,SubDiaGroup
110101,北京市,北京市,东城区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110102,北京市,北京市,西城区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110105,北京市,北京市,北京市朝阳区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110106,北京市,北京市,丰台区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110107,北京市,北京市,石景山区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110108,北京市,北京市,海淀区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110109,北京市,北京市,门头沟区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110111,北京市,北京市,房山区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110112,北京市,北京市,北京市通州区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110113,北京市,北京市,顺义区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110114,北京市,北京市,昌平区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110115,北京市,北京市,大兴区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110116,北京市,北京市,怀柔区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110117,北京市,北京市,平谷区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
110118,北京市,北京市,密云区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
110119,北京市,北京市,延庆区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
120103,天津市,天津市,河西区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120101,天津市,天津市,天津市和平区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120102,天津市,天津市,天津市河东区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120104,天津市,天津市,南开区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120105,天津市,天津市,河北区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120106,天津市,天津市,红桥区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120110,天津市,天津市,东丽区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120111,天津市,天津市,西青区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120112,天津市,天津市,津南区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120113,天津市,天津市,北辰区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120114,天津市,天津市,武清区,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
120115,天津市,天津市,宝坻区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120116,天津市,天津市,滨海新区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120117,天津市,天津市,宁河区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120118,天津市,天津市,静海区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
120119,天津市,天津市,蓟州区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130102,河北省,石家庄市,石家庄市长安区,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130104,河北省,石家庄市,石家庄市桥西区,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130105,河北省,石家庄市,石家庄市新华区,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130107,河北省,石家庄市,井陉矿区,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130108,河北省,石家庄市,裕华区,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130109,河北省,石家庄市,藁城区,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130110,河北省,石家庄市,鹿泉区,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130111,河北省,石家庄市,栾城区,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130181,河北省,石家庄市,辛集市,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130183,河北省,石家庄市,晋州市,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130184,河北省,石家庄市,新乐市,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130121,河北省,石家庄市,井陉县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130123,河北省,石家庄市,正定县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130125,河北省,石家庄市,行唐县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130126,河北省,石家庄市,灵寿县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130127,河北省,石家庄市,高邑县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130128,河北省,石家庄市,深泽县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130129,河北省,石家庄市,赞皇县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130130,河北省,石家庄市,无极县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130131,河北省,石家庄市,平山县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130132,河北省,石家庄市,元氏县,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
130133,河北省,石家庄市,赵县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130203,河北省,唐山市,路北区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130202,河北省,唐山市,路南区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130204,河北省,唐山市,古冶区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130205,河北省,唐山市,开平区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130207,河北省,唐山市,丰南区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130208,河北省,唐山市,丰润区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130209,河北省,唐山市,曹妃甸区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130281,河北省,唐山市,遵化市,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130283,河北省,唐山市,迁安市,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130223,河北省,唐山市,滦县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130224,河北省,唐山市,滦南县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130225,河北省,唐山市,乐亭县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130227,河北省,唐山市,迁西县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130229,河北省,唐山市,玉田县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130302,河北省,秦皇岛市,海港区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130303,河北省,秦皇岛市,山海关区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130304,河北省,秦皇岛市,北戴河区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130306,河北省,秦皇岛市,抚宁区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130322,河北省,秦皇岛市,昌黎县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130324,河北省,秦皇岛市,卢龙县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130321,河北省,秦皇岛市,青龙满族自治县,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130403,河北省,邯郸市,丛台区,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130402,河北省,邯郸市,邯山区,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130404,河北省,邯郸市,复兴区,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130406,河北省,邯郸市,峰峰矿区,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130407,河北省,邯郸市,肥乡区,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130408,河北省,邯郸市,永年区,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130481,河北省,邯郸市,武安市,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130423,河北省,邯郸市,临漳县,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130424,河北省,邯郸市,成安县,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130425,河北省,邯郸市,大名县,官话,中原官话,郑开片,Mandarin,Zhongyuan,Zhengkai
130426,河北省,邯郸市,涉县,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130427,河北省,邯郸市,磁县,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130430,河北省,邯郸市,邱县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130431,河北省,邯郸市,鸡泽县,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130432,河北省,邯郸市,广平县,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130433,河北省,邯郸市,馆陶县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130434,河北省,邯郸市,魏县,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130435,河北省,邯郸市,曲周县,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130502,河北省,邢台市,邢台市桥东区,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130503,河北省,邢台市,邢台市桥西区,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130581,河北省,邢台市,南宫市,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130582,河北省,邢台市,沙河市,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130521,河北省,邢台市,邢台县,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130522,河北省,邢台市,临城县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130523,河北省,邢台市,内丘县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130524,河北省,邢台市,柏乡县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130525,河北省,邢台市,隆尧县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130526,河北省,邢台市,任县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130527,河北省,邢台市,南和县,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
130528,河北省,邢台市,宁晋县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130529,河北省,邢台市,巨鹿县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130530,河北省,邢台市,新河县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130531,河北省,邢台市,广宗县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130532,河北省,邢台市,平乡县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130533,河北省,邢台市,威县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130534,河北省,邢台市,清河县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130535,河北省,邢台市,临西县,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
130602,河北省,保定市,竞秀区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130606,河北省,保定市,莲池区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130607,河北省,保定市,满城区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
130608,河北省,保定市,清苑区,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
