语系,语族,方言大区,方言区/语支,方言片/语种,Supergroup,Dialect group,Sub-dialect group
汉藏,汉语,官话,东北官话,吉沈片,Mandarin,Northeastern,Jishen
汉藏,汉语,官话,东北官话,哈阜片,Mandarin,Northeastern,Hafu
汉藏,汉语,官话,东北官话,黑松片,Mandarin,Northeastern,Heisong
汉藏,汉语,官话,北京官话,京承片,Mandarin,Beijing,Jingcheng
汉藏,汉语,官话,北京官话,朝峰片,Mandarin,Beijing,Zhaofeng
汉藏,汉语,官话,冀鲁官话,保唐片,Mandarin,Jilu,Baotang
汉藏,汉语,官话,冀鲁官话,石济片,Mandarin,Jilu,Shiji
汉藏,汉语,官话,冀鲁官话,沧惠片,Mandarin,Jilu,Canghui
汉藏,汉语,官话,胶辽官话,登连片,Mandarin,Jiaoliao,Denglian
汉藏,汉语,官话,胶辽官话,青莱片,Mandarin,Jiaoliao,Qinglai
汉藏,汉语,官话,胶辽官话,盖桓片,Mandarin,Jiaoliao,Gaihuan
汉藏,汉语,官话,中原官话,郑开片,Mandarin,Zhongyuan,Zhengkai
汉藏,汉语,官话,中原官话,洛嵩片,Mandarin,Zhongyuan,Luosong
汉藏,汉语,官话,中原官话,南鲁片,Mandarin,Zhongyuan,Nanlu
汉藏,汉语,官话,中原官话,漯项片,Mandarin,Zhongyuan,Luoxiang
汉藏,汉语,官话,中原官话,商阜片,Mandarin,Zhongyuan,Shangfu
汉藏,汉语,官话,中原官话,信蚌片,Mandarin,Zhongyuan,Xinbeng
汉藏,汉语,官话,中原官话,兖菏片,Mandarin,Zhongyuan,Yanhe
汉藏,汉语,官话,中原官话,徐淮片,Mandarin,Zhongyuan,Xuhuai
汉藏,汉语,官话,中原官话,汾河片,Mandarin,Zhongyuan,Fenhe
汉藏,汉语,官话,中原官话,关中片,Mandarin,Zhongyuan,Guanzhong
汉藏,汉语,官话,中原官话,秦陇片,Mandarin,Zhongyuan,Qinlong
汉藏,汉语,官话,中原官话,陇中片,Mandarin,Zhongyuan,Longzhong
汉藏,汉语,官话,中原官话,河州片,Mandarin,Zhongyuan,Hezhou
汉藏,汉语,官话,中原官话,南疆片,Mandarin,Zhongyuan,Nanjiang
汉藏,汉语,官话,兰银官话,金城片,Mandarin,Lanyin,Jincheng
汉藏,汉语,官话,兰银官话,河西片,Mandarin,Lanyin,Hexi
汉藏,汉语,官话,兰银官话,银吴片,Mandarin,Lanyin,Yinwu
汉藏,汉语,官话,兰银官话,北疆片,Mandarin,Lanyin,Beijiang
汉藏,汉语,官话,江淮官话,泰如片,Mandarin,Jianghuai,Tairu
汉藏,汉语,官话,江淮官话,洪巢片,Mandarin,Jianghuai,Hongchao
汉藏,汉语,官话,江淮官话,黄孝片,Mandarin,Jianghuai,Huangxiao
汉藏,汉语,官话,江淮官话,竹柞片,Mandarin,Jianghuai,Zhuzuo
汉藏,汉语,官话,西南官话,川黔片,Mandarin,Southwestern,Chuanqian
汉藏,汉语,官话,西南官话,西蜀片,Mandarin,Southwestern,Xishu
汉藏,汉语,官话,西南官话,川西片,Mandarin,Southwestern,Chuanxi
汉藏,汉语,官话,西南官话,云南片,Mandarin,Southwestern,Yunnan
汉藏,汉语,官话,西南官话,湖广片,Mandarin,Southwestern,Huguang
汉藏,汉语,官话,西南官话,桂柳片,Mandarin,Southwestern,Guiliu
汉藏,汉语,官话,西南官话,其它,Mandarin,Southwestern,Other
汉藏,汉语,非官话,晋,并州片,Non-Mandarin,Jin,Bingzhou
汉藏,汉语,非官话,晋,五台片,Non-Mandarin,Jin,Wutai
汉藏,汉语,非官话,晋,大包片,Non-Mandarin,Jin,Dabao
汉藏,汉语,非官话,晋,张呼片,Non-Mandarin,Jin,Zhanghu
汉藏,汉语,非官话,晋,志延片,Non-Mandarin,Jin,Zhiyan
汉藏,汉语,非官话,晋,吕梁片,Non-Mandarin,Jin,Lvliang
汉藏,汉语,非官话,晋,上党片,Non-Mandarin,Jin,Shangdang
汉藏,汉语,非官话,晋,邯新片,Non-Mandarin,Jin,Hanxin
汉藏,汉语,非官话,吴,台州片,Non-Mandarin,Wu,Taizhou
汉藏,汉语,非官话,吴,金衢片,Non-Mandarin,Wu,Jinqu
汉藏,汉语,非官话,吴,瓯江片,Non-Mandarin,Wu,Oujiang
汉藏,汉语,非官话,吴,太湖片,Non-Mandarin,Wu,Taihu
汉藏,汉语,非官话,吴,上丽片,Non-Mandarin,Wu,Shangli
汉藏,汉语,非官话,吴,宣州片,Non-Mandarin,Wu,Xuanzhou
汉藏,汉语,非官话,闽,莆仙片,Non-Mandarin,Min,Puxian
汉藏,汉语,非官话,闽,闽中片,Non-Mandarin,Min,Minzhong
汉藏,汉语,非官话,闽,雷州片,Non-Mandarin,Min,Leizhou
汉藏,汉语,非官话,闽,闽南片,Non-Mandarin,Min,Minnan
汉藏,汉语,非官话,闽,闽东片,Non-Mandarin,Min,Mindong
汉藏,汉语,非官话,闽,闽北片,Non-Mandarin,Min,Minbei
汉藏,汉语,非官话,闽,琼文片,Non-Mandarin,Min,Qiongwen
汉藏,汉语,非官话,闽,邵将片,Non-Mandarin,Min,Shaojiang
汉藏,汉语,非官话,客家话,粤台片,Non-Mandarin,Hakka,Yuetai
汉藏,汉语,非官话,客家话,海陆片,Non-Mandarin,Hakka,Hailu
汉藏,汉语,非官话,客家话,粤北片,Non-Mandarin,Hakka,Yuebei
汉藏,汉语,非官话,客家话,粤西片,Non-Mandarin,Hakka,Yuexi
汉藏,汉语,非官话,客家话,汀州片,Non-Mandarin,Hakka,Tingzhou
汉藏,汉语,非官话,客家话,宁龙片,Non-Mandarin,Hakka,Ninglong
汉藏,汉语,非官话,客家话,于信片,Non-Mandarin,Hakka,Yuxin
汉藏,汉语,非官话,客家话,铜桂片,Non-Mandarin,Hakka,Tonggui
汉藏,汉语,非官话,粤,广府片,Non-Mandarin,Yue,Guangfu
汉藏,汉语,非官话,粤,四邑片,Non-Mandarin,Yue,Siyi
汉藏,汉语,非官话,粤,高阳片,Non-Mandarin,Yue,Gaoyang
汉藏,汉语,非官话,粤,吴化片,Non-Mandarin,Yue,Wuhua
汉藏,汉语,非官话,粤,勾漏片,Non-Mandarin,Yue,Goulou
汉藏,汉语,非官话,粤,邕浔片,Non-Mandarin,Yue,Yongxun
汉藏,汉语,非官话,粤,钦廉片,Non-Mandarin,Yue,Qinlian
汉藏,汉语,非官话,粤,儋州话,Non-Mandarin,Yue,Zhanzhou
汉藏,汉语,非官话,湘,长益片,Non-Mandarin,Xiang,Changyi
汉藏,汉语,非官话,湘,娄邵片,Non-Mandarin,Xiang,Loushao
汉藏,汉语,非官话,湘,衡州片,Non-Mandarin,Xiang,Quzhou
汉藏,汉语,非官话,湘,辰溆片,Non-Mandarin,Xiang,Chenxu
汉藏,汉语,非官话,湘,永全片,Non-Mandarin,Xiang,Yongquan
汉藏,汉语,非官话,赣,昌都片,Non-Mandarin,Gan,Changdu
汉藏,汉语,非官话,赣,宜浏片,Non-Mandarin,Gan,Yiliu
汉藏,汉语,非官话,赣,吉茶片,Non-Mandarin,Gan,Jicha
汉藏,汉语,非官话,赣,抚广片,Non-Mandarin,Gan,Fuguang
汉藏,汉语,非官话,赣,鹰弋片,Non-Mandarin,Gan,Yingyi
汉藏,汉语,非官话,赣,大通片,Non-Mandarin,Gan,Datong
汉藏,汉语,非官话,赣,耒资片,Non-Mandarin,Gan,Leizi
